Date,kodex200,kodex200x2,kbond3y,kbond10y,kbond20y,us500_UH,usbond10y_UH
2010-03-17,18485.0,10780.0,80485.0,73447.52940977503,59457.16015608138,2686.232763170656,8031.268572052652
2010-03-18,18408.0,10675.0,80506.0,73747.9531399729,59939.499319138806,2698.651858609789,8049.6169950979665
2010-03-19,18524.0,10825.0,80590.0,73816.63901776637,60047.05868887378,2682.601175313677,8032.884667459079
2010-03-22,18306.0,10580.0,80617.0,74003.99070593246,60347.76733827795,2701.962411857113,8071.251082517124
2010-03-23,18491.0,10765.0,80547.0,73605.98466705358,59694.52726617414,2722.883083387465,8060.634310823957
2010-03-24,18491.0,10765.0,80262.0,72637.89028641785,58120.20185372082,2713.2405035038832,7995.617824606071
2010-03-25,18514.0,10835.0,80396.0,72876.2199538984,58497.62728428728,2719.539995145157,7997.342670315666
2010-03-26,18617.0,10900.0,80501.0,72829.77777111663,58419.07645475497,2709.581276696023,7991.890805589394
2010-03-29,18571.0,10850.0,80440.0,72614.43496851505,58069.62252655383,2718.401479831384,7957.854382110126
2010-03-30,18693.0,10980.0,80298.0,72285.52777945071,57539.60616457812,2711.1518350496217,7940.393580881629
2010-03-31,18622.0,10885.0,80340.0,72635.31168457735,58092.53799056778,2704.5411470821687,7964.817611661892
2010-04-01,18919.0,11245.0,80464.0,72759.66842024004,58287.48992349904,2707.5288229070643,7907.233628365943
2010-04-02,18999.0,11370.0,80515.0,72713.44114393789,58209.44658528166,2706.6874902058457,7904.811391353838
2010-04-05,19102.0,11485.0,80492.0,72612.23459346648,58043.43536686879,2721.475342239193,7818.958620490163
2010-04-06,19110.0,11480.0,80515.0,72679.70535422298,58147.34074882895,2731.6571472047613,7850.308882479515
2010-04-07,19077.0,11455.0,80638.0,73032.24639121616,58707.47231735959,2711.221704029168,7882.464560744438
2010-04-08,19121.0,11495.0,80794.0,73329.8067590453,59181.85718573959,2722.9163180200944,7880.298592752301
2010-04-09,19035.0,11400.0,80753.0,73340.3833758571,59194.88980537069,2726.161727472977,7849.212607106427
2010-04-12,18880.0,11210.0,80624.0,72779.14221850951,58284.86547786603,2725.7288057405444,7855.7083951866625
2010-04-13,18850.0,11175.0,80571.0,72676.1138277211,58115.86761028094,2748.195378494606,7924.265490032878
2010-04-14,19133.0,11510.0,80515.0,72686.83509526325,58129.04761678612,2749.3396612170704,7824.9034830564515
2010-04-15,19197.0,11575.0,80509.0,72527.42824869258,57870.118690831725,2746.6581886449635,7823.884451782421
2010-04-16,19079.0,11410.0,80599.0,72651.46527619136,58064.10876849595,2704.779241449316,7872.6532006523075
2010-04-19,18754.0,11020.0,80722.0,72777.51474361552,58261.626801653714,2734.290351342549,7906.289265131812
2010-04-20,18869.0,11165.0,80737.0,72674.56234680049,58092.81429930449,2757.599465532921,7906.473072442474
2010-04-21,19170.0,11550.0,80715.0,72685.30329630533,58106.02090926455,2727.467253555873,7862.789866176879
2010-04-22,19110.0,11410.0,80786.0,72752.8350058436,58210.02722184378,2737.20984159389,7849.877615746986
2010-04-23,19083.0,11385.0,80819.0,72934.33552721485,58496.49370538414,2756.444881708292,7833.038699664757
2010-04-26,19285.0,11630.0,80827.0,73003.86475902572,58604.03199386244,2734.891609945973,7807.926046560489
2010-04-27,19269.0,11605.0,80946.0,73243.57199804555,58984.88318752588,2684.838261973511,7915.98804203692
2010-04-28,19017.0,11300.0,81130.0,73542.10977014762,59461.69712690522,2725.938906708948,7934.486711867815
2010-04-29,19027.0,11295.0,81169.0,73552.69685964871,59474.75878920255,2749.745295324211,7919.896805032248
2010-04-30,19174.0,11455.0,81134.0,73505.4912026099,59394.35835058963,2687.4665131439674,7921.810843115491
2010-05-03,18875.0,11140.0,81061.0,73287.24680370926,59037.61009134923,2746.9828351805468,7968.714864428688
2010-05-04,18875.0,11115.0,81046.0,73355.40148155336,59143.386528864336,2675.0743306282666,7998.342539825529
2010-05-06,18459.0,10620.0,80982.0,73089.53626169536,58710.637784684375,2629.93486666483,8282.144170924594
2010-05-07,18040.0,10135.0,80970.0,72985.92034422031,58540.16741762799,2623.279915257496,8357.368825536247
2010-05-10,18381.0,10500.0,80979.0,72884.33454227213,58373.21299546468,2683.345795254339,8141.548052756862
2010-05-11,18272.0,10355.0,81098.0,73123.29661098731,58751.99921376308,2682.104254443463,8168.613757230897
